#Description of Prime File
#prime,degree of f,bits q,bits p
1220889871689711394959852438256590427118709129618897271368239256327175319397546114747316140905104858634161,6,64,350
250008183798635684756440327019806458153854831910407002775390168937307907712078792691346306781563,6,64,317
18985591587796660896989785260183669541882906030942548174150158133702218869487412403313060168429,6,64,314
407792056752542074526906240126077882936159809638524945515276768799508351762628258339519641606077,6,64,318
632142836902912285520173605954628566790791511312846498786070639900534246255256164968936257263,6,64,309
5468177111903162992389193168490845877759021251678276412791475312442824630966109408130903369093,6,64,312
6762593667368431961869655893179150184899404481752281509049701671898376860134889838918861277816737,6,64,322
959673630952463698439071060868845750556046140011201294334993869750702374346113431212758074879447,6,64,319
1736571872193002217163560233097160189804023211061096177424367799257128903826834046638762933756861,6,64,320
92564209958231537167650984747444230876650374293570039178161348230228667530588085631159661183861,6,64,316
5897194432735738704530328586531397505223439258252493513647760457731692166569030649566678341837,6,64,312
3481429121996804280828326664255515121400745963831888213702327587228747506074067702106031531819573,6,64,321
6882178034041956672702582599873164541454547637560448740559566193958816703768705767430385077927,6,64,312
3890996701491561690919889212762632186725526951862171318312739291225982434491602464840384909339,6,64,311
36557978775507386598612431278653943042127706027196307328640038419236029286069290267197305866013464538039595356755837811494879956791002171143044062137010295024113960662852557343531067100013896979,6,128,644
